Outcome,Implied Probability (%),Market Description,Data Source
Oklahoma City Thunder,38.0,Championship Winner,Polymarket
Boston Celtics,29.0,Championship Winner,Polymarket
Cleveland Cavaliers,16.0,Championship Winner,Polymarket
Golden State Warriors,6.0,Championship Winner,Polymarket
Minnesota Timberwolves,4.0,Championship Winner,Polymarket
Denver Nuggets,3.0,Championship Winner,Polymarket
Los Angeles Lakers,2.0,Championship Winner,Polymarket
Los Angeles Clippers,2.0,Championship Winner,Polymarket
New York Knicks,1.0,Championship Winner,Polymarket
Indiana Pacers,1.0,Championship Winner,Polymarket
Boston Celtics,55.0,Eastern Conference Winner,Polymarket
Cleveland Cavaliers,36.0,Eastern Conference Winner,Polymarket
New York Knicks,5.0,Eastern Conference Winner,Polymarket
Indiana Pacers,4.0,Eastern Conference Winner,Polymarket
Detroit Pistons,1.0,Eastern Conference Winner,Polymarket
Oklahoma City Thunder,63.0,Western Conference Winner,Polymarket
Golden State Warriors,14.0,Western Conference Winner,Polymarket
Minnesota Timberwolves,10.0,Western Conference Winner,Polymarket
Denver Nuggets,5.0,Western Conference Winner,Polymarket
Los Angeles Clippers,5.0,Western Conference Winner,Polymarket
Los Angeles Lakers,3.0,Western Conference Winner,Polymarket
Houston Rockets,1.0,Western Conference Winner,Polymarket
Eastern Conference,48.0,Winning Conference,Polymarket
Western Conference,54.0,Winning Conference,Polymarket
Oklahoma City Thunder,38.46153846153847,Championship Winner,Yahoo Sports
Boston Celtics,33.33333333333333,Championship Winner,Yahoo Sports
Cleveland Cavaliers,16.666666666666664,Championship Winner,Yahoo Sports
Golden State Warriors,5.88235294117647,Championship Winner,Yahoo Sports
Minnesota Timberwolves,3.8461538461538463,Championship Winner,Yahoo Sports
Los Angeles Lakers,2.4390243902439024,Championship Winner,Yahoo Sports
New York Knicks,2.4390243902439024,Championship Winner,Yahoo Sports
Los Angeles Clippers,2.4390243902439024,Championship Winner,Yahoo Sports
Denver Nuggets,2.4390243902439024,Championship Winner,Yahoo Sports
