Outcome,Implied Probability (%),Market Description,Data Source
Denver Nuggets,9.1,Championship Winner,BetMGM
Miami Heat,7.4,Championship Winner,BetMGM
Boston Celtics,35.7,Championship Winner,BetMGM
Los Angeles Lakers,11.1,Championship Winner,BetMGM
Phoenix Suns,20.0,Championship Winner,BetMGM
Golden State Warriors,16.7,Championship Winner,BetMGM
Philadelphia 76ers,14.3,Championship Winner,BetMGM
New York Knicks,4.8,Championship Winner,BetMGM
Milwaukee Bucks,26.7,Championship Winner,BetMGM
Memphis Grizzlies,5.3,Championship Winner,BetMGM
Cleveland Cavaliers,2.4,Championship Winner,BetMGM
Los Angeles Clippers,2.0,Championship Winner,BetMGM
Sacramento Kings,2.0,Championship Winner,BetMGM
Minnesota Timberwolves,0.7,Championship Winner,BetMGM
Atlanta Hawks,0.5,Championship Winner,BetMGM
Brooklyn Nets,0.2,Championship Winner,BetMGM
